property_id,neighborhood,year,total_assessed_value,property_area,number_of_bedrooms,number_of_bathrooms,building_age,latitude,longitude,pca_x,pca_y,tsne_x,tsne_y
70885,Bayview,2015,508680.0,1200.0,3,2.0,72.0,37.737061817,-122.388545079,-0.3336186022848954,1.431022185533808,,
70886,South Beach,2021,763204.0,1173.0,1,1.0,107.0,37.778163171,-122.395777877,-1.9237988806901396,-1.839497445192204,,
70887,Central Sunset,2022,1004969.0,1522.0,3,2.0,85.0,37.752319645,-122.480903542,2.2348916590136527,-2.058834831986956,,
70888,South of Market,2019,894158.0,0.0,0,0.0,86.0,37.778061779,-122.397452125,-3.4573324307027855,1.0999466603889647,,
70889,Marina,2016,279956.0,684.0,0,1.0,96.0,37.803507091,-122.443859485,-1.3358106344012752,1.420243979596751,-33.68739700317383,12.98562240600586
70890,Inner Mission,2016,401784.0,0.0,0,2.0,117.0,37.755864002,-122.418441028,-2.1346545724996147,1.878407465395408,-19.055784225463867,-18.719411849975586
70891,Ingleside,2022,708256.0,1268.0,2,2.0,38.0,37.72137623,-122.459712141,1.944981821521427,-1.9672676458362761,,
70892,Marina,2023,660128.0,2030.0,3,2.0,95.0,37.80081025,-122.446691882,-0.3852040133227671,-2.7752835374786446,,
70893,Eureka Valley/Dolores Heights,2022,1653044.0,2940.0,4,4.0,19.0,37.757659073,-122.438381887,0.13899547109525234,-3.047251727711134,,
70894,Pacific Heights,2022,888860.0,914.0,0,1.0,99.0,37.791477699,-122.444202035,-1.0356477755723978,-2.0889185257883343,-48.9266357421875,-18.308786392211914
70895,Merced Heights,2018,47053.0,1150.0,0,1.0,95.0,37.720218756,-122.464742567,1.827022629210011,2.0261165662140628,,
70896,Inner Parkside,2022,722246.0,2320.0,4,3.0,96.0,37.742169778,-122.472083015,2.4164460225307165,-2.2184329280512327,,
70897,Outer Richmond,2015,1034543.0,1275.0,0,1.0,82.0,37.780461695,-122.508470885,2.1727054150364724,1.9735236575948818,74.83807373046875,-11.20002269744873
70898,Western Addition,2015,127412.0,1261.0,0,2.0,61.0,37.783305383,-122.42729882,-2.123131434556061,1.6437004370801973,,
70899,Bayview Heights,2017,483809.0,1210.0,2,2.0,15.0,37.714226893,-122.398336373,0.27229050198000576,1.3964677476805305,,
70900,Croker Amazon,2021,427912.0,1574.0,2,1.0,97.0,37.713456899,-122.4389568,1.7017415963144868,-1.0319384670118015,,
70901,Outer Richmond,2015,458347.0,1750.0,0,2.0,107.0,37.77310962,-122.503905866,2.40786744831486,2.027137061969895,,
70902,Cow Hollow,2022,931072.0,1008.0,2,1.0,109.0,37.798882499,-122.435012033,-1.0109307805154266,-2.2928883625823886,,
70903,Potrero Hill,2020,855789.0,0.0,0,0.0,86.0,37.763019844,-122.402714955,-2.7971008536062474,-0.7589466119263566,,
70904,Pacific Heights,2015,526430.0,700.0,0,1.0,64.0,37.792901551,-122.429118869,-1.956119616294366,1.4974697991585262,,
70905,Excelsior,2022,248615.0,755.0,0,1.0,113.0,37.723976291,-122.428344537,0.6943752578110396,-1.364585027169191,,
70906,Outer Richmond,2021,440942.0,1043.0,2,2.0,41.0,37.772203448,-122.510364333,2.615141287863237,-1.2495256770956291,66.54305267333984,-35.80188751220703
70907,Portola,2020,477816.0,1791.0,3,2.0,96.0,37.727634744,-122.408220285,0.5882783490286779,-1.270074174253851,,
70908,Portola,2023,42273.0,1125.0,0,1.0,85.0,37.731883902,-122.40806952,-0.2125105274714938,-1.5937500349016152,,
70909,Visitacion Valley,2018,47660.0,1140.0,0,1.0,76.0,37.719083442,-122.402040157,0.10108074747952915,1.718615459328958,,
70910,Ingleside Heights,2017,457008.0,1108.0,2,2.0,115.0,37.709474947,-122.46830747,2.7665246130207097,1.6934089355913395,,
70911,Ingleside,2022,39556.0,875.0,0,1.0,98.0,37.72125223,-122.454414361,1.5266004237629553,-1.0842017793653091,,
70912,South Beach,2021,605870.0,536.0,0,0.0,26.0,37.788008364,-122.389643054,-2.747327137545657,-1.7620228981029193,,
70913,Outer Parkside,2020,806084.0,1312.0,4,2.0,78.0,37.738890939,-122.502596903,3.544838051684302,-1.0497607906243693,,
70914,Potrero Hill,2019,966527.0,1889.0,0,1.0,91.0,37.757656842,-122.399634861,-1.5152096647912132,0.6205961287917426,,
70915,Russian Hill,2015,2000000.0,3500.0,0,4.0,115.0,37.798627847,-122.418281642,-1.2230501819079225,1.2178978221840253,,
70916,Buena Vista Park/Ashbury Heights,2019,495373.0,1419.0,0,1.0,117.0,37.768095844,-122.435995616,-0.9604385823251999,0.6593842473341546,-26.137948989868164,4.733860015869141
70917,Hunters Point,2018,571002.0,892.0,2,2.0,16.0,37.71117716,-122.388087332,-0.027969849015610147,1.281747156399388,,
70918,Ingleside Heights,2022,310964.0,1760.0,0,3.0,38.0,37.714412224,-122.467764392,2.4903020771898015,-1.636182010594245,,
70919,Hunters Point,2016,595944.0,1575.0,4,3.0,12.0,37.712945293,-122.394980821,0.32869969008110966,1.3690323134057736,,
70920,Outer Parkside,2022,318032.0,1300.0,3,1.0,75.0,37.750215972,-122.504886919,3.091147109377979,-1.5788422128524184,,
70921,Portola,2023,72994.0,1250.0,0,1.0,65.0,37.72500469,-122.420324444,0.10410259869697773,-1.677531157089624,,
70922,Russian Hill,2015,1104798.0,2120.0,4,2.0,114.0,37.797396956,-122.416758507,-1.4201402439688116,1.212184560160094,,
70923,Outer Richmond,2018,606282.0,1462.0,3,2.0,107.0,37.779869492,-122.496267159,2.338201456703991,1.0369747876101347,,
70924,Financial District North,2015,843064.0,2436.0,0,2.0,116.0,37.793561467,-122.406557642,-1.8958335528207042,1.1568433091087824,,
70925,Outer Richmond,2020,302706.0,1380.0,3,1.0,101.0,37.776831891,-122.50456408,2.5505286717861884,-0.8654096793862478,,
70926,Corona Heights,2016,58891.0,1232.0,0,1.0,113.0,37.758899152,-122.445643822,-0.6338960889586363,1.8487629466956974,,
70927,Merced Manor,2019,271276.0,2440.0,0,2.0,85.0,37.732424106,-122.476316561,2.208453715902351,1.2046541391597974,,
70928,Glen Park,2016,427371.0,903.0,0,1.0,75.0,37.733404154,-122.440544027,0.10390782778293717,1.693648749959395,,
70929,Oceanview,2016,617728.0,1534.0,3,2.0,64.0,37.715192002,-122.459638089,2.10922443573323,1.5024545957154745,,
70930,Presidio Heights,2016,873566.0,2485.0,5,3.0,97.0,37.78858445,-122.455756489,0.41722687203364744,0.7900283195084254,,
70931,Bernal Heights,2020,780977.0,1250.0,0,1.0,95.0,37.732339094,-122.424830151,0.008153686715626404,-1.335051529935342,,
70932,South Beach,2023,1106701.0,1684.0,0,2.0,27.0,37.782774895,-122.389688346,-2.0964455975251495,-2.9691827126934074,,
70933,Ingleside Heights,2022,202910.0,1100.0,0,1.0,84.0,37.708817826,-122.469406749,2.4647816797461566,-1.1721999886774368,,
70934,Outer Richmond,2017,385905.0,2083.0,0,1.0,117.0,37.779091849,-122.494668191,1.9131319292089033,1.6846747703499731,,
70935,Financial District North,2020,1229706.0,1250.0,2,2.0,36.0,37.790591995,-122.403056884,-2.018989852019309,-2.0289307901510907,-65.46529388427734,-67.22563171386719
70936,Silver Terrace,2020,263286.0,1250.0,2,1.0,83.0,37.732513189,-122.400526683,-0.2239294557228284,-1.0150322227216826,-16.477293014526367,40.16106414794922
70937,Cole Valley/Parnassus Heights,2023,946001.0,577.0,1,1.0,116.0,37.761988557,-122.447338248,-0.07043468493596355,-2.16539497931457,,
70938,Mission Dolores,2022,224892.0,1145.0,0,0.0,99.0,37.764501035,-122.422610963,-1.6886004802239165,-1.8885667746420725,,
70939,Croker Amazon,2016,262689.0,2200.0,3,3.0,100.0,37.712034181,-122.433763642,1.9382609346191846,1.5242807713684392,,
70940,Haight Ashbury,2016,351839.0,1565.0,0,1.0,115.0,37.771013199,-122.44837615,-0.6046477739488192,1.8475519742970687,,
70941,Ingleside Terrace,2016,569444.0,1600.0,0,1.0,97.0,37.72279577,-122.471039671,2.1036570520823075,1.9405986241708768,,
70942,Visitacion Valley,2023,425750.0,1188.0,0,1.0,68.0,37.710278473,-122.407110322,0.761536688587521,-1.7944346573623162,,
70943,Lone Mountain,2021,1371388.0,2067.0,2,1.0,86.0,37.778725362,-122.455119503,-0.09537128039832331,-1.7159246159972958,,
70944,Van Ness/ Civic Center,2015,54738.0,233.0,0,0.0,28.0,37.775912654,-122.421356926,-3.4168200034727843,2.1943073198233467,,
70945,Clarendon Heights,2016,1538504.0,3049.0,0,3.0,59.0,37.747815364,-122.466777406,0.9732000613313518,1.2456293450911675,,
70946,Potrero Hill,2022,621184.0,453.0,0,1.0,16.0,37.764113014,-122.402986546,-2.123086286785561,-2.214115217245464,,
70947,Lake Street,2021,424066.0,1300.0,0,1.0,108.0,37.785132149,-122.478977631,0.8884262302362763,-1.051976335359438,22.328813552856445,93.07296752929688
70948,Bayview,2023,477056.0,1558.0,0,2.0,115.0,37.739570704,-122.388347844,-0.13912375620333842,-2.0755596680687933,,
70949,Noe Valley,2017,621863.0,1000.0,0,1.0,81.0,37.745877928,-122.434107994,-0.5201347286064819,1.2702118718123503,,
70950,Portola,2016,263857.0,2500.0,0,2.0,118.0,37.730135992,-122.406068687,0.17663086297078537,1.6850917922705704,,
70951,Russian Hill,2017,1491715.0,1709.0,0,3.0,59.0,37.798446655,-122.415217686,-1.8238159201232418,0.8480496058828194,,
70952,Pacific Heights,2019,1148040.0,1670.0,3,2.0,109.0,37.791758631,-122.423810833,-1.1843596531516825,0.18876544636946982,,
70953,Financial District North,2022,597398.0,2880.0,6,6.0,123.0,37.798014835,-122.40314024,-0.34709526814870817,-3.3678857471693173,,
70954,Parkside,2019,279514.0,1600.0,0,1.0,97.0,37.751519356,-122.477685807,1.594319916704683,1.3368583786160235,,
70955,Inner Richmond,2020,236975.0,2900.0,0,2.0,117.0,37.776486541,-122.462136159,0.6007794587566826,-0.9919371982222126,-4.70501184463501,27.185056686401367
70956,Outer Sunset,2023,62336.0,1225.0,0,1.0,82.0,37.755291513,-122.501508473,2.4327264814683116,-1.3291816311477784,,
70957,Downtown,2021,758907.0,1784.0,2,2.0,110.0,37.78840375,-122.413260324,-1.897871780591199,-1.3744763905967003,,
70958,Eureka Valley/Dolores Heights,2017,1820932.0,2150.0,0,1.0,101.0,37.757637157,-122.425458506,-0.9200808545974294,0.988102395680608,,
70959,Outer Richmond,2016,728162.0,2400.0,3,2.0,99.0,37.78115712,-122.498012276,2.3959089897515056,1.3927543173996202,,
70960,Silver Terrace,2023,731103.0,1350.0,0,1.0,82.0,37.731970059,-122.397175272,-0.2528983770755056,-2.053796063915982,,
70961,Noe Valley,2018,601745.0,936.0,2,1.0,116.0,37.74972264,-122.431476189,-0.35929244779502056,0.9484266992958513,,
70962,Silver Terrace,2018,326082.0,1301.0,2,2.0,39.0,37.733109779,-122.395617071,-0.43395905060792417,0.8876421309842936,,
70963,Financial District South,2016,870050.0,1123.0,2,2.0,109.0,37.787457863,-122.401309899,-1.8723575764031282,0.824831627968855,,
70964,Inner Richmond,2023,960941.0,2500.0,5,2.0,111.0,37.777222085,-122.471257104,1.4176154469713262,-2.6457740318830654,,
70965,Potrero Hill,2017,556748.0,1942.0,2,2.0,123.0,37.758835435,-122.389992588,-1.0444341170745568,0.9380381053875799,,
